City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Oshnaviyeh,20,IR,1576121455,79,37.04,45.1,269.15,3.1
Eyrarbakki,10,IS,1576121455,58,63.86,-21.15,272.15,4.6
Ravar,0,IR,1576121455,50,31.27,56.81,279.09,3.41
Xichang,99,CN,1576121456,91,27.88,102.25,274.9,2.31
Salinopolis,100,BR,1576121456,76,-0.61,-47.36,301.07,7.76
Sur,89,OM,1576121456,70,22.57,59.53,295.34,1.08
Tigzirt,87,DZ,1576121456,92,36.57,4.2,280.35,2.64
Nalut,0,LY,1576121456,46,31.86,10.98,281.4,4.83
Bonthe,12,SL,1576121456,79,7.53,-12.5,299.2,0.65
Cidreira,17,BR,1576121196,91,-30.17,-50.22,296.07,11.92
Zhezkazgan,90,KZ,1576121456,93,47.8,67.71,273.15,3.0
Kitimat,90,CA,1576121456,86,54.02,-128.69,272.59,9.8
Leh,100,IN,1576121456,86,34.16,77.58,259.28,1.16
Alofi,75,NU,1576121456,78,-19.06,-169.92,301.15,3.1
Barranca,100,PE,1576121456,90,-10.75,-77.76,292.32,6.26
Dudinka,75,RU,1576121457,92,69.41,86.18,267.15,6.0
Ahuimanu,90,US,1576121457,74,21.44,-157.84,300.15,2.1
Orange Cove,100,US,1576121457,100,36.62,-119.31,285.15,1.12
Iracoubo,24,GF,1576121457,82,5.48,-53.21,299.46,7.59
Gunnedah,0,AU,1576121457,20,-30.98,150.25,307.15,4.6
Dubai,20,AE,1576121457,60,25.27,55.3,297.15,5.1
Usinsk,95,RU,1576121457,95,66.0,57.56,264.44,4.46
Osoyoos,90,CA,1576121457,86,49.03,-119.47,274.15,1.5
Isla Vista,1,US,1576121457,87,34.41,-119.86,288.15,1.5
Grindavik,20,IS,1576121458,79,63.84,-22.43,272.15,10.8
Padang,99,ID,1576121458,79,-0.92,100.36,296.38,3.13
Mwinilunga,100,ZM,1576121458,98,-11.73,24.43,289.98,1.2
Show Low,1,US,1576121182,64,34.25,-110.03,277.15,3.1
San Vicente,75,EC,1576121458,83,-0.59,-80.41,297.15,5.1
Natal,75,BR,1576121458,83,-5.81,-35.21,299.15,3.1
Salalah,8,OM,1576121458,73,17.01,54.1,296.15,2.6
Pevek,100,RU,1576121458,94,69.7,170.27,260.95,4.04
Ugoofaaru,100,MV,1576121458,71,5.67,73.0,301.0,2.6
Aras,75,ES,1576121459,81,42.56,-2.36,279.26,3.6
Bayaguana,20,DO,1576121459,88,18.75,-69.64,299.26,2.6
Akranes,92,IS,1576121459,58,64.32,-22.07,272.15,4.6
Hasaki,20,JP,1576121459,52,35.73,140.83,292.04,5.1
Yenagoa,90,NG,1576121459,94,4.92,6.26,297.29,1.01
Srikakulam,0,IN,1576121180,64,18.29,83.89,296.66,1.4
Ruteng,47,ID,1576121459,44,-8.61,120.46,303.72,2.88
Goderich,93,CA,1576121459,78,43.74,-81.71,267.04,5.36
Fereydun Kenar,75,IR,1576121459,100,36.69,52.52,282.15,2.1
Wattegama,33,LK,1576121459,75,7.35,80.68,298.69,0.89
Gracac,75,RS,1576121459,100,43.65,20.83,275.15,1.0
Mumford,98,GH,1576121460,93,5.26,-0.76,297.42,0.71
Alekseyevsk,100,RU,1576121460,90,57.84,108.35,265.29,4.02
Pundaguitan,100,PH,1576121460,75,6.37,126.17,300.64,4.2
Cedar City,1,US,1576121460,69,37.68,-113.06,274.15,2.6
Ridgecrest,75,US,1576121277,75,35.62,-117.67,283.15,3.1
Matay,33,EG,1576121460,79,28.42,30.79,284.78,2.12
Khatanga,100,RU,1576121199,87,71.98,102.47,250.67,3.5
Hovd,92,NO,1576121460,52,63.83,10.7,279.82,14.4
Nikolskoye,93,RU,1576121461,79,59.7,30.79,271.48,5.0
Saint-Francois,90,FR,1576121461,80,46.42,3.91,277.59,4.6
Ventanas,0,CL,1576121461,72,-32.74,-71.48,290.15,1.5
Erenhot,0,CN,1576121461,60,43.65,111.97,267.74,7.56
Hay River,20,CA,1576121413,74,60.82,-115.79,242.15,2.1
Salina Cruz,9,MX,1576121461,66,16.18,-95.2,298.63,20.28
Cooma,0,AU,1576121461,23,-36.24,149.13,296.15,4.6
Kichera,100,RU,1576121461,94,55.93,110.1,261.43,0.34
Mincivan,0,AZ,1576121462,60,39.03,46.72,273.06,1.87
Hobyo,7,SO,1576121462,86,5.35,48.53,298.17,3.54
Sao Joao da Barra,100,BR,1576121462,95,-21.64,-41.05,296.38,3.5
Seryshevo,0,RU,1576121462,94,51.09,128.38,250.48,1.25
Magway,0,MM,1576121462,60,20.15,94.92,293.88,2.97
Georgetown,90,GY,1576121236,100,6.8,-58.16,297.15,1.0
Vawkavysk,90,BY,1576121462,95,53.15,24.45,273.15,5.0
Okakarara,93,NA,1576121462,42,-20.59,17.46,293.27,4.69
Nirasaki,20,JP,1576121462,37,35.72,138.41,289.26,8.7
Balkanabat,46,TM,1576121463,82,39.51,54.36,277.02,2.46
Cajaruro,100,PE,1576121463,88,-5.74,-78.43,293.32,2.03
Aberdeen,90,US,1576121463,100,46.98,-123.82,283.15,5.7
Burns Lake,100,CA,1576121463,95,54.23,-125.76,267.94,1.02
Aasiaat,6,GL,1576121463,64,68.71,-52.87,254.05,3.69
Caluquembe,43,AO,1576121463,71,-13.78,14.68,287.18,1.3
Chany,53,RU,1576121463,89,55.31,76.76,264.3,5.08
Wanaka,100,NZ,1576121464,46,-44.7,169.14,291.13,3.1
Brae,98,GB,1576121464,86,60.4,-1.35,277.15,12.9
Nizhniy Ingash,100,RU,1576121464,89,56.2,96.53,266.84,4.98
Ouargaye,100,BF,1576121464,12,11.5,0.06,295.66,4.07
Knysna,90,ZA,1576121206,93,-34.04,23.05,290.15,1.5
Saint-Joseph,18,FR,1576121464,40,43.56,6.97,284.15,8.2
Kerema,25,PG,1576121465,52,-7.96,145.78,305.51,4.66
Kirakira,99,SB,1576121465,79,-10.46,161.92,301.08,2.07
Gigmoto,24,PH,1576121465,79,13.78,124.39,300.92,7.9
Irricana,90,CA,1576121465,92,51.32,-113.6,266.48,3.6
Tambun,40,ID,1576121465,83,-6.26,107.07,302.04,6.2
Wahiawa,90,US,1576121293,74,21.5,-158.02,300.15,2.1
Dalbandin,11,PK,1576121465,80,28.9,64.41,284.05,0.73
Petropavlovsk-Kamchatskiy,3,RU,1576121465,62,53.05,158.65,266.15,3.0
Bagotville,0,AU,1576121465,74,-28.98,153.42,305.15,6.7
Paamiut,100,GL,1576121466,71,61.99,-49.67,273.03,1.06
Krasnyy Chikoy,100,RU,1576121466,94,50.36,108.75,259.64,1.88
Sistranda,75,NO,1576121466,65,63.73,8.83,279.82,10.3
Fairbanks,1,US,1576121431,92,64.84,-147.72,268.15,2.45
Katsuura,40,JP,1576121467,53,33.93,134.5,285.15,8.7
Richards Bay,49,ZA,1576121467,80,-28.77,32.06,296.28,5.28
Laguna,4,BZ,1576121467,98,16.17,-88.94,294.8,0.45
Broken Hill,99,AU,1576121467,29,-31.97,141.45,298.15,7.2
Kocerin,40,BA,1576121463,75,43.39,17.48,278.15,1.0
Grand Gaube,75,MU,1576121467,83,-20.01,57.66,300.37,3.6
Clyde River,100,CA,1576121219,82,70.47,-68.59,250.07,5.86
Tooele,90,US,1576121467,86,40.53,-112.3,276.48,1.5
Tokur,100,RU,1576121467,95,53.13,132.9,247.44,1.05
Tromso,40,NO,1576121467,77,69.65,18.96,277.15,14.9
Anjar,23,IN,1576121468,78,23.11,70.03,295.52,3.48
Havre-Saint-Pierre,1,CA,1576121468,65,50.23,-63.6,258.15,1.5
Pangnirtung,91,CA,1576121468,70,66.15,-65.72,255.78,2.15
Adrar,0,DZ,1576121468,38,27.87,-0.29,279.15,3.1
Nouadhibou,96,MR,1576121468,37,20.93,-17.03,292.15,6.7
Tari,20,NG,1576121468,14,12.41,4.49,292.37,4.43
Makakilo City,90,US,1576121340,74,21.35,-158.09,300.15,2.1
Konigs Wusterhausen,75,DE,1576121468,100,52.3,13.63,275.37,5.1
Mercedes,47,UY,1576121468,70,-33.25,-58.03,294.04,3.84
Banda Aceh,20,ID,1576121469,71,5.56,95.32,300.52,3.58
Mkushi,100,ZM,1576121469,94,-13.61,29.4,291.05,0.37
Srednekolymsk,100,RU,1576121469,94,67.46,153.71,246.47,3.24
Port Hedland,0,AU,1576121469,13,-20.31,118.58,314.15,4.6
Ajdabiya,19,LY,1576121469,66,30.75,20.22,289.13,9.43
Sechura,100,PE,1576121469,86,-5.56,-80.82,293.42,3.16
Yalta,22,UA,1576121469,92,46.96,37.27,276.44,7.03
Buala,77,SB,1576121469,71,-8.15,159.59,302.08,0.86
Dzaoudzi,50,YT,1576121469,94,-12.79,45.27,299.15,1.0
Cockburn Town,0,TC,1576121469,79,21.46,-71.14,299.47,8.09
Vanimo,100,PG,1576121469,73,-2.67,141.3,300.87,1.82
Chapais,75,CA,1576121470,70,49.78,-74.86,253.15,6.2
Mbuji-Mayi,100,CD,1576121470,96,-6.13,23.6,292.23,0.36
Mogocha,99,RU,1576121470,93,53.73,119.76,249.94,1.12
Torbay,90,CA,1576121286,92,47.66,-52.73,272.04,5.7
Touros,75,BR,1576121470,78,-5.2,-35.46,299.15,3.1
Griffith,0,AU,1576121470,20,-34.29,146.06,302.15,8.7
Saint Anthony,90,US,1576121470,92,43.97,-111.68,274.15,0.59
Quanzhou,0,CN,1576121470,48,24.9,118.59,292.15,6.0
Cabedelo,40,BR,1576121341,78,-6.97,-34.84,299.15,2.1
Sabha,0,LY,1576121470,49,27.03,14.43,281.13,4.45
Longonjo,94,AO,1576121470,70,-12.91,15.25,286.15,0.89
Vao,100,EE,1576121471,66,59.1,26.19,270.55,4.22
Opuwo,58,NA,1576121471,55,-18.06,13.84,289.17,0.92
Mount Gambier,75,AU,1576121471,45,-37.83,140.78,292.15,7.7
Puerto Carreno,49,CO,1576121471,69,6.19,-67.49,301.15,2.1
Camacha,75,PT,1576121471,72,33.08,-16.33,290.15,4.1
Haines Junction,99,CA,1576121471,97,60.75,-137.51,264.05,2.13
Altay,0,CN,1576121471,38,47.83,88.13,264.43,2.02
Davila,40,PH,1576121471,55,18.47,120.58,304.15,2.6
Avera,1,US,1576121471,80,33.19,-82.53,280.15,2.1
Kikwit,100,CD,1576121472,97,-5.04,18.82,292.87,0.88
Talcahuano,33,CL,1576121472,71,-36.72,-73.12,286.15,4.1
The Valley,40,AI,1576121472,83,18.22,-63.06,298.71,4.1
Balgazyn,92,RU,1576121472,82,51.0,95.2,258.66,0.72
Guarapari,40,BR,1576121472,83,-20.67,-40.5,299.82,3.6
Matamoros,75,US,1576121472,76,25.87,-97.51,284.82,4.1
Viedma,43,AR,1576121472,34,-40.81,-62.99,291.5,13.69
Ahuacatlan,40,MX,1576121472,93,21.05,-104.48,289.15,0.74
Tam Ky,75,VN,1576121472,69,15.57,108.48,297.15,0.88
Maltahohe,11,NA,1576121473,35,-24.83,16.98,289.61,0.82
Westport,1,US,1576121210,55,41.14,-73.36,274.82,5.1
Labuhan,72,ID,1576121473,77,-2.54,115.51,302.0,0.97
Limbang,75,BN,1576121473,74,4.75,115.01,302.15,3.1
Chifeng,0,CN,1576121473,30,42.27,118.96,267.31,4.54
Bandarbeyla,82,SO,1576121473,83,9.49,50.81,299.85,4.38
Tual,100,ID,1576121474,79,-5.67,132.75,300.24,3.61
Fuerte Olimpo,28,BR,1576121474,75,-21.04,-57.87,299.9,2.32
Vorukh,100,KG,1576121474,80,39.85,70.57,273.18,0.44
Antalya,75,TR,1576121474,100,36.9,30.69,284.15,4.1
Nautla,94,MX,1576121474,83,20.22,-96.78,287.65,0.85
Maumere,67,ID,1576121474,65,-8.63,122.22,302.33,3.16
Ondjiva,69,AO,1576121474,44,-17.07,15.73,291.91,2.69
Nioro,100,GM,1576121474,17,13.79,-15.05,296.88,4.14
Moorhead,90,US,1576121474,77,46.87,-96.75,256.48,3.6
Timizart,43,DZ,1576121474,64,36.8,4.25,287.91,9.66
Preobrazheniye,0,RU,1576121475,59,42.9,133.91,264.85,3.81
Iwanai,100,JP,1576121475,97,42.97,140.51,271.06,10.35
Jaciara,54,BR,1576121475,91,-15.95,-54.98,295.6,1.39
Bowen,0,AU,1576121475,46,-20.01,148.25,305.93,7.2
Phayakkhaphum Phisai,0,TH,1576121475,69,15.52,103.19,296.15,4.1
Benguela,53,AO,1576121475,81,-12.58,13.4,295.48,0.23
La Baule-Escoublac,90,FR,1576121475,93,47.28,-2.4,283.15,3.1
Vestmannaeyjar,26,IS,1576121475,67,63.44,-20.27,272.43,13.83
Lahaina,20,US,1576121476,58,20.87,-156.68,302.15,2.1
Eydhafushi,100,MV,1576121476,77,5.1,73.07,300.54,4.99
Peleduy,100,RU,1576121476,94,59.63,112.75,262.59,2.97
Ulladulla,40,AU,1576121476,49,-35.36,150.48,297.04,5.7
Taoru,75,IN,1576121476,72,28.22,76.95,293.15,2.1
Kishi,0,NG,1576121476,26,9.08,3.85,294.46,1.8
Shubarshi,99,KZ,1576121476,82,48.59,57.19,268.37,2.62
Sandnessjoen,47,NO,1576121240,52,66.02,12.63,279.15,10.3
Zhigansk,100,RU,1576121477,95,66.77,123.37,239.62,3.71
Fuyang,95,CN,1576121477,39,32.89,115.81,283.88,5.27
Kaniama,95,CD,1576121477,99,-7.57,24.18,291.05,0.37
Dingle,33,PH,1576121477,79,11.0,122.67,300.85,6.32
Bathsheba,40,BB,1576121477,74,13.22,-59.52,300.15,5.7
Berlevag,40,NO,1576121477,92,70.86,29.09,269.15,10.8
Sibu,75,MY,1576121477,78,2.29,111.83,301.15,2.1
Lavrentiya,100,RU,1576121477,87,65.58,-170.99,270.89,5.63
Ritto,40,JP,1576121477,47,35.04,135.98,288.15,3.1
Mola di Bari,20,IT,1576121477,93,41.06,17.09,283.71,2.1
Ugento,75,IT,1576121478,93,39.93,18.16,283.15,3.6
Sokolka,100,RU,1576121478,87,52.46,43.89,273.49,2.7
Nizhniy Kuranakh,91,RU,1576121478,98,58.84,125.49,251.95,0.41
Gornyy,71,RU,1576121478,92,51.76,48.54,270.58,4.69
Guerrero Negro,0,MX,1576121478,62,27.97,-114.04,291.07,3.66
Bubaque,71,GW,1576121478,71,11.28,-15.83,300.08,3.91
Oudtshoorn,90,ZA,1576121478,93,-33.59,22.2,290.15,1.5
Obigarm,100,TJ,1576121478,52,38.72,69.71,274.58,4.93
Dauphin,40,CA,1576121330,69,51.15,-100.04,249.15,1.5
Shirokiy,100,RU,1576121478,96,53.87,39.17,273.54,2.28
Champerico,40,MX,1576121479,73,16.38,-93.6,295.15,7.7
Inuvik,5,CA,1576121479,69,68.36,-133.71,248.15,3.1
Dakar,100,SN,1576121181,25,14.69,-17.45,297.15,5.1
Pavino,90,RU,1576121479,92,55.02,82.61,266.15,6.0
Nantucket,1,US,1576121479,64,41.28,-70.1,275.15,3.1
Ozernovskiy,96,RU,1576121479,74,51.5,156.52,271.55,0.95
Tucuman,80,PE,1576121479,71,-17.17,-70.89,283.92,2.31
Harindanga,0,IN,1576121480,94,22.04,88.32,293.15,2.1
Valdemarpils,90,LV,1576121480,92,57.37,22.59,271.15,5.7
Kaoma,100,ZM,1576121480,80,-14.8,24.8,292.72,1.42
Esperance,0,AU,1576121480,36,-33.86,121.89,299.15,3.6
Akcaabat,0,TR,1576121480,51,41.02,39.57,282.15,0.5
Erzin,75,TR,1576121480,81,36.95,36.2,286.15,3.1
Saint-Augustin,20,CA,1576121480,48,45.63,-73.98,267.15,6.2
Mitsamiouli,76,KM,1576121480,70,-11.38,43.28,301.21,1.16
Maple Creek,100,CA,1576121480,96,49.91,-109.46,260.21,2.25
Karasburg,0,NA,1576121480,36,-28.01,18.75,288.82,4.6
Victor Harbor,20,AU,1576121481,52,-35.55,138.62,295.93,7.2
Harper,1,US,1576121284,66,30.3,-99.24,278.71,4.01
Rocha,72,UY,1576121481,91,-34.48,-54.34,291.58,4.85
Plouzane,100,FR,1576121481,87,48.38,-4.62,282.59,7.2
Jiuquan,17,CN,1576121481,17,39.73,98.49,270.25,0.44
Pyapon,0,MM,1576121481,56,16.29,95.68,296.75,3.03
Letpadan,0,MM,1576121481,49,17.78,95.75,298.06,0.46
Zaragoza,65,SV,1576121481,73,13.59,-89.29,300.15,2.6
Sao Raimundo das Mangabeiras,0,BR,1576121481,73,-7.02,-45.48,296.62,0.73
Lufilufi,100,WS,1576121482,79,-13.87,-171.6,302.04,3.58
Evanston,1,US,1576121455,62,42.04,-87.69,266.48,2.17
Tocopilla,63,CL,1576121482,40,-22.09,-70.2,285.39,1.44
Beloha,38,MG,1576121482,86,-25.17,45.06,297.61,3.79
Vokhma,45,RU,1576121482,88,58.93,46.76,265.75,1.66
Kasane,71,BW,1576121482,100,-17.8,25.16,291.15,0.5
Turayf,100,SA,1576121482,100,31.68,38.65,281.15,7.2
Solok,99,ID,1576121483,79,-0.79,100.66,296.38,3.13
Chikwawa,100,MW,1576121483,90,-16.03,34.79,294.14,1.32
Staryy Nadym,100,RU,1576121483,95,65.61,72.68,266.02,5.74
Duekoue,20,CI,1576121483,92,6.74,-7.35,295.52,0.74
Huangnihe,0,CN,1576121483,71,43.56,128.02,262.06,4.7
Fare,64,PF,1576121483,73,-16.7,-151.02,300.22,2.63
Cayenne,47,GF,1576121404,100,4.94,-52.33,297.15,1.5
Nerchinskiy Zavod,85,RU,1576121483,93,51.31,119.61,250.46,2.46
Encruzilhada,28,BR,1576121483,98,-15.53,-40.91,290.69,2.25
Lillesand,88,NO,1576121484,81,58.25,8.38,280.37,6.2
West Bay,90,CA,1576121484,93,49.34,-123.21,281.48,7.2
Puerto Ayacucho,74,CO,1576121484,69,5.66,-67.63,301.15,2.1
Nosivka,100,UA,1576121484,94,50.94,31.58,275.21,3.42
Veraval,75,FR,1576121484,93,49.65,0.71,276.15,2.6
Porto Velho,20,BR,1576121484,88,-8.75,-63.87,299.15,0.5
Morehead,1,US,1576121191,58,38.18,-83.43,275.15,0.73
Hutchinson,1,US,1576121196,70,38.06,-97.93,279.82,9.8
Tuy Hoa,89,VN,1576121484,77,13.08,109.3,297.0,8.37
Hampton,1,US,1576121484,80,32.88,-81.13,283.15,4.17
Matara,100,BI,1576121485,95,-3.48,29.48,286.64,0.37
Mizdah,0,LY,1576121485,55,31.45,12.98,279.51,7.72
Kalmunai,62,LK,1576121485,73,7.42,81.82,300.55,2.39
Marzuq,5,YE,1576121485,72,14.4,46.47,290.71,1.16
Victoria,75,BN,1576121200,79,5.28,115.24,302.15,2.1
Beaverlodge,90,CA,1576121485,78,55.21,-119.43,261.15,3.1
Morondava,96,MG,1576121485,89,-20.3,44.28,296.92,1.41
Gouyave,75,GD,1576121486,94,12.16,-61.73,297.15,2.1
Camocim,68,BR,1576121486,86,-2.9,-40.84,298.0,1.62
Bourg-en-Bresse,75,FR,1576121486,86,46.21,5.22,277.59,1.5
Okhotsk,53,RU,1576121486,69,59.36,143.24,248.39,3.98
